,Without Extension,,,,,,,,With Extension,,,,,,
,Many small Images,,,,Few Large Images,,,,Many small Images,,,,Few Large Images,,
,Number of Requests,69,,,Number of Requests,9,,,Number of Requests,69,,,Number of Requests,9,
,Total Transfered (MB),23.1,,,Total Transfered (MB),23.1,,,Total Transfered (MB),0.0209,,,Total Transfered (MB),0.0175,
,Resources (MB),23.1,,,Resources (MB),23.1,,,Resources (MB),0.0617,,,Resources (MB),0.0236,
nth try,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms)
1,95345,2151,95030,,123037,1273,122724,,696,682,683,,648,643,643
2,92499,1247,92187,,117038,2104,116727,,981,976,977,,669,656,657
3,83410,1291,83101,,122000,1557,121678,,662,654,655,,650,643,643
4,81439,2691,81133,,121547,942,121235,,674,669,669,,669,655,656
5,81398,1958,81090,,116703,1775,116390,,682,676,676,,658,650,650
6,82140,958,81828,,123425,1271,123114,,661,652,652,,677,653,663
7,79649,1774,79339,,125589,954,125258,,682,671,671,,658,651,651
8,84626,2329,84318,,124087,974,123776,,781,700,700,,665,658,659
9,71523,1250,71213,,122851,966,122540,,686,680,681,,652,643,644
10,76810,1778,76501,,133492,947,133182,,660,651,652,,658,653,654
11,75896,978,75589,,130071,960,129752,,674,657,658,,663,659,659
12,75594,973,75288,,131064,2392,130746,,690,681,681,,671,665,666
13,75221,1634,74904,,133970,953,133661,,671,660,662,,656,648,648
14,81205,974,80897,,128743,953,128423,,675,659,659,,662,653,654
15,79769,964,79460,,117534,1641,117222,,682,670,671,,661,656,656
16,72671,947,72362,,144207,1393,143894,,698,676,677,,660,652,652
17,74056,966,73748,,131458,1641,131142,,681,673,673,,649,643,643
18,91667,960,91358,,124828,941,124516,,702,683,684,,668,661,661
19,105385,956,105078,,140316,953,140007,,694,682,685,,663,653,653
20,93708,969,93397,,125320,660,125008,,694,670,675,,665,659,659
