,Without Extension,,,,,,,,With Extension,,,,,,
21,102205,1788,101896,,123176,1651,122853,,686,672,672,,657,651,651
22,96035,2407,95723,,129559,956,129247,,662,655,656,,650,645,645
23,96273,952,95963,,119666,952,119349,,690,677,678,,684,676,678
24,96967,979,96656,,133186,953,132878,,670,663,664,,652,642,643
25,95823,1644,95512,,124562,962,124249,,682,675,675,,652,648,648
26,97269,968,96958,,146269,952,145960,,699,681,681,,663,655,655
27,93826,964,93518,,128125,959,127810,,685,678,678,,659,650,651
28,105820,1635,105512,,123007,1780,122691,,1535,1524,1525,,669,661,661
29,89390,1803,89081,,126634,1263,126321,,676,666,667,,655,647,648
30,108185,976,107874,,126513,1263,126200,,680,664,664,,663,653,654
31,101173,955,100864,,125235,1261,124920,,683,669,669,,646,638,638
32,99108,967,98799,,118238,1972,117923,,685,670,671,,660,656,656
33,95728,973,95418,,113260,1990,112947,,685,677,678,,656,650,650
34,101105,955,100796,,134188,952,133878,,669,660,660,,680,668,668
35,94961,949,94653,,119433,1485,119120,,698,686,686,,649,646,646
36,105894,1637,105585,,122421,942,122111,,667,656,656,,687,675,675
37,100788,1267,100481,,120844,971,120531,,664,659,659,,656,651,651
38,101906,972,101598,,116450,1695,116140,,666,656,656,,678,666,666
39,108220,961,107909,,123766,939,123445,,679,671,672,,654,644,644
40,100178,961,99867,,105350,993,105023,,676,662,665,,660,649,649
41,95868,1627,95556,,118078,655,117768,,695,679,680,,650,639,639
42,101514,966,101205,,118306,951,117993,,687,677,678,,684,669,670
43,102319,970,102009,,136778,1334,136463,,1368,1361,1362,,653,650,650
44,102487,950,102179,,125434,1953,125119,,970,959,960,,649,643,644
45,98845,1949,98535,,124789,956,124480,,680,671,673,,672,662,662
46,98082,1761,97772,,111492,1647,111167,,661,657,657,,673,667,667
47,97866,1268,97557,,122450,664,122141,,683,675,676,,653,640,641
48,97747,967,97435,,114678,1251,114365,,679,673,673,,665,652,652
49,103161,956,102853,,129617,947,129304,,671,665,666,,667,652,652
50,106713,969,106404,,133573,962,133265,,667,662,662,,648,643,643
51,96299,963,95990,,120577,942,120266,,676,669,670,,671,662,662
52,104893,951,104554,,117871,951,117560,,668,663,663,,663,656,657
53,90492,940,90185,,118312,942,118002,,675,669,670,,672,665,665
54,95932,1637,95618,,122448,2173,122138,,667,661,661,,673,668,668
55,101624,963,101311,,134314,1948,134004,,683,670,671,,644,639,639
56,102003,944,101692,,108892,1337,108580,,659,655,655,,668,664,665
57,89725,952,89416,,117960,1380,117647,,675,666,666,,659,665,665
58,106672,1269,106357,,118840,1272,118527,,669,663,664,,653,642,642
59,97583,1272,97267,,120449,965,120135,,669,657,659,,650,647,647
60,95482,954,95162,,123326,1692,123009,,663,657,658,,649,640,640
61,97631,950,97320,,116310,1739,115999,,677,666,667,,652,643,644
62,97327,960,97019,,114796,655,114483,,673,668,668,,654,649,650
63,92231,965,91921,,121877,955,121567,,681,670,671,,661,649,649
64,106712,1954,106403,,119740,945,119429,,674,664,664,,658,654,654
65,97062,972,96755,,127547,1712,127235,,688,677,678,,661,654,655
66,103359,963,103048,,127314,1375,127000,,669,662,663,,666,657,658
67,103280,1631,102971,,104836,1628,104525,,972,961,961,,652,643,643
68,92470,969,92158,,121867,1335,121546,,677,672,673,,654,647,648
69,102313,1643,102005,,121800,949,121484,,680,660,660,,675,657,658
70,104866,972,104559,,121835,2391,121519,,662,657,658,,658,650,651
71,94508,979,94199,,123296,1655,122974,,665,659,659,,655,648,648
72,103808,1968,103500,,118720,1892,118407,,659,652,653,,657,651,652
73,104250,1962,103938,,123559,1316,123250,,673,666,666,,657,653,653
74,103433,1264,103127,,128584,949,128272,,672,666,667,,669,663,663
75,100272,1269,100416,,116961,1638,116642,,675,669,670,,658,653,653
76,100400,974,100092,,112979,1325,112664,,668,661,662,,659,651,651
77,96231,1556,95922,,126422,954,126099,,683,676,676,,656,647,648
78,93228,960,92917,,124570,977,124261,,661,650,652,,672,665,665
79,97638,1964,97329,,124180,977,123847,,683,672,673,,662,657,658
80,89928,974,89620,,114398,1422,114087,,663,655,657,,653,645,645
81,98382,1253,98068,,132364,1733,132051,,667,662,662,,666,656,656
82,93665,1268,93353,,130559,958,130249,,684,676,676,,681,670,670
83,101650,1291,101341,,120959,1649,120651,,675,667,667,,668,659,659
84,97063,1270,96752,,117165,2400,117853,,668,660,661,,663,660,661
85,93472,2334,93364,,121137,956,120828,,663,656,656,,659,650,651
86,94379,968,94070,,123814,951,123503,,672,665,665,,684,660,660
87,102201,952,101892,,110634,1714,110316,,674,664,664,,661,650,651
88,94017,949,93706,,132251,935,131931,,678,670,671,,674,667,667
89,97035,959,96724,,125790,1636,125474,,682,667,667,,654,643,644
90,100457,984,100148,,125817,664,125498,,670,663,663,,677,660,663
91,96052,951,95745,,114663,1448,114347,,697,683,684,,651,644,645
92,97710,971,97401,,117244,947,116931,,682,674,675,,663,656,656
93,93604,966,93296,,116739,940,116429,,678,666,667,,644,637,638
94,102301,957,101987,,123303,949,122991,,666,660,661,,678,667,667
95,94523,966,94213,,127409,1631,127096,,700,695,695,,657,652,652
96,99604,959,99297,,95467,940,95156,,669,656,656,,656,652,652
97,98031,958,97724,,124696,961,124382,,667,661,661,,658,652,652
98,99420,946,99112,,129311,950,129000,,671,664,664,,675,651,651
99,97344,1289,97034,,131683,1637,131370,,684,680,680,,669,662,662
100,98629,1252,98323,,129331,1643,129010,,660,655,655,,660,653,653
