,Without Extension,,,,,,,,With Extension,,,,,,
,Many small Images,,,,Few Large Images,,,,Many small Images,,,,Few Large Images,,
,Number of Requests,69,,,Number of Requests,9,,,Number of Requests,69,,,Number of Requests,9,
,Total Transfered (MB),23.1,,,Total Transfered (MB),23.1,,,Total Transfered (MB),0.0209,,,Total Transfered (MB),0.0175,
,Resources (MB),23.1,,,Resources (MB),23.1,,,Resources (MB),0.0617,,,Resources (MB),0.0236,
nth try,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms)
1,9488,551,9448,,9899,118,9876,,130,122,122,,95,88,89
2,9433,138,9411,,9006,129,8987,,362,352,353,,84,73,74
3,8781,130,8756,,9185,126,9158,,114,109,110,,322,291,293
4,8804,119,8777,,9328,171,9305,,125,112,112,,118,106,106
5,9020,370,8995,,9316,123,9296,,122,109,110,,93,86,86
6,9104,356,9080,,9447,86,9428,,311,301,301,,83,76,76
7,9015,128,8995,,9206,80,9181,,145,112,113,,80,76,76
8,9084,164,9059,,9065,83,9046,,116,110,110,,305,296,297
9,9277,191,9256,,8845,117,8823,,139,128,128,128,93,83,83
10,8740,703,8723,,9355,159,9337,,115,100,101,,109,86,87
11,8920,160,8900,,9038,337,9017,,123,116,117,,95,85,85
12,9023,354,9003,,9397,304,9370,,351,342,343,,97,93,93
13,8588,136,8568,,9152,304,9131,,155,137,138,,89,82,82
14,8886,116,8868,,9365,90,9113,,140,121,124,,303,282,282
15,8888,437,8868,,8965,113,8947,,128,107,107,,305,278,278
16,8870,150,8847,,9331,136,9310,,127,99,99,,86,75,76
17,9001,186,8982,,9109,98,9085,,117,104,104,,112,104,105
18,8891,166,8869,,9101,77,9078,,119,96,96,,87,80,80
19,9442,592,9184,,9024,120,8998,,128,121,122,,132,122,122
20,8542,165,8525,,9169,305,9148,,108,98,98,,82,75,75
