,Without Extension,,,,,,,,With Extension,,,,,,
21,8510,256,8485,,8908,307,8887,,136,127,128,,289,285,286
22,8649,109,8629,,9169,157,9148,,147,139,140,,511,503,503
23,8678,154,8421,,8873,109,8849,,326,317,318,,77,73,74
24,8444,170,8427,,9567,131,9547,,324,316,316,,117,111,111
25,8779,174,8751,,9041,299,9020,,116,104,104,,79,72,73
26,8442,133,8416,,9241,171,9219,,125,111,111,,90,77,78
27,8861,383,8841,,9400,93,9375,,126,116,116,,302,295,295
28,8807,153,8552,,9373,162,9351,,121,106,107,,99,91,91
29,8561,161,8544,,9224,352,9204,,130,117,118,,80,65,65
30,8710,106,8689,,9304,197,9278,,131,119,120,,106,92,93
31,8457,112,8437,,8959,350,8939,,119,104,105,,70,64,64
32,8502,142,8484,,9096,96,9075,,106,93,93,,82,71,71
33,8810,118,8792,,8941,119,8921,,103,98,98,,110,100,100
34,9180,612,9160,,8872,108,8854,,132,116,116,,117,96,98
35,8721,122,8698,,9408,296,9385,,536,527,528,,87,78,78
36,8611,170,8592,,8930,152,8910,,113,103,103,,105,98,99
37,8931,131,8911,,8943,363,8922,,98,88,88,,96,84,84
38,9489,185,9470,,9171,300,9150,,321,312,314,,85,79,79
39,8686,163,8664,,9055,170,9035,,146,130,131,,517,506,507
40,8753,191,8731,,8945,129,8923,,121,103,104,,101,97,98
41,8735,130,8711,,9805,88,9327,,123,107,107,,107,96,96
42,8833,119,8813,,8939,372,8914,,141,111,111,,514,511,511
43,8778,151,8753,,9050,321,9032,,135,109,110,,81,74,74
44,8946,151,8925,,8974,111,8952,,124,113,113,,96,82,83
45,8701,375,8682,,8809,133,8789,,334,321,321,,303,295,295
46,8772,137,8753,,9400,168,9381,,155,136,137,,105,99,99
47,8751,368,8732,,8728,97,8709,,138,132,133,,106,101,102
48,8537,128,8516,,9210,111,9189,,298,292,292,,86,79,80
49,9174,143,9154,,10368,136,10341,,131,123,123,,86,77,77
50,8922,98,8878,,9405,115,9385,,147,126,127,,91,69,70
51,8660,178,8640,,9159,137,9138,,115,102,102,,93,85,86
52,8700,141,8679,,9339,186,9320,,159,147,147,,96,86,86
53,8869,363,8850,,9426,93,9403,,113,98,98,,96,85,85
54,8822,429,8798,,9277,859,9254,,150,135,136,,99,86,89
55,8670,128,8652,,9194,104,9175,,338,332,332,,296,290,290
56,9478,160,9458,,9140,79,9119,,119,89,90,,77,71,72
57,8752,138,8733,,9432,96,9412,,318,310,311,,103,83,85
58,8778,109,8756,,9262,306,9240,,126,114,114,,111,106,107
59,9171,399,9152,,9039,126,9013,,121,102,103,,85,75,75
60,8710,141,8690,,10022,628,10001,,166,151,151,,121,103,103
61,9037,123,9015,,9327,144,9306,,154,129,130,,94,87,87
62,8873,192,8855,,9467,94,9449,,134,108,108,,93,82,83
63,8949,192,8930,,8886,122,8870,,121,111,112,,103,89,89
64,8629,174,8610,,9467,93,9446,,141,126,128,,107,101,101
65,8942,104,8922,,9364,151,9341,,319,315,315,,86,72,73
66,8721,357,8702,,9507,229,9489,,147,126,127,,124,116,116
67,8903,229,8881,,9280,102,9255,,141,125,126,,72,68,68
68,8311,111,8290,,9201,107,9174,,112,105,105,,84,81,81
69,8757,338,8740,,9179,115,9161,,148,136,137,,292,283,284
70,8814,134,8795,,8989,307,8967,,165,143,147,,117,105,105
71,8803,192,8783,,9137,105,9119,,358,320,321,,299,286,287
72,8974,193,8955,,9277,179,9258,,125,116,116,,119,100,100
73,8468,143,8451,,9101,81,9080,,114,104,105,,310,294,294
74,8615,143,8595,,9179,111,9159,,111,105,106,,87,74,75
75,9170,160,9152,,9223,554,9194,,101,94,95,,287,283,283
76,8788,205,8767,,9475,115,9453,,116,103,104,,88,77,78
77,8929,158,8905,,9367,172,9349,,112,106,106,,88,75,77
78,8739,115,8717,,9749,125,9720,,308,302,303,,114,99,99
79,9577,137,9318,,8921,99,8900,,110,97,97,,72,70,70
80,8811,140,8792,,9006,91,8985,,347,333,333,,306,292,292
81,8906,397,8885,,9053,379,9032,,124,103,103,,94,86,86
82,8910,158,8888,,9204,72,9179,,318,307,308,,132,123,123
83,9119,159,9097,,9134,132,9110,,128,112,113,,110,99,101
84,8818,167,8797,,9252,113,9220,,115,104,104,,99,89,89
85,8931,161,8912,,9206,102,9187,,99,91,92,,79,63,64
86,9608,155,9586,,8906,129,8888,,114,101,101,,115,101,101
87,9517,188,9497,,9036,102,9018,,105,100,100,,67,55,56
88,9309,141,9285,,9161,162,9138,,125,105,106,,93,86,87
89,8757,159,8738,,9215,116,9196,,124,118,118,,124,105,111
90,8757,186,8739,,9576,123,9554,,117,104,104,,108,98,100
91,8599,117,8581,,8876,88,8854,,131,124,125,,97,85,85
92,8733,136,8712,,9387,95,9363,,149,142,142,,310,303,303
93,8814,423,8790,,8984,153,8963,,129,119,119,,104,97,98
94,8739,163,8721,,9145,106,9124,,103,90,90,,296,288,288
95,8695,149,8672,,9281,109,9262,,125,111,111,,84,77,78
96,8741,165,8720,,9927,360,9903,,122,98,99,,314,300,300
97,8849,120,8830,,9156,137,9129,,128,115,115,,99,82,83
98,9464,124,9445,,9265,327,9247,,123,117,118,,99,82,84
99,9482,158,9460,,9355,78,9336,,97,89,90,,93,80,81
100,9097,152,9077,,9144,360,9116,,320,303,303,,92,84,84
