,Without Extension,,,,,,,,With Extension,,,,,,
20,96012,1729,95703,,158068,1637,157751,,693,676,676,,653,648,648
21,100312,941,100005,,142046,966,141735,,664,659,660,,663,658,658
22,108369,956,108061,,146084,952,145770,,967,955,955,,682,674,674
23,102795,947,102489,,145287,956,144977,,679,669,669,,665,659,660
24,110612,963,110302,,146237,1624,145925,,668,661,661,,667,664,664
25,109150,974,108843,,145311,962,144994,,1559,1550,1550,,1165,1156,1157
26,111179,962,110872,,139801,959,139494,,672,663,663,,653,647,648
27,113241,1463,112931,,146532,2076,146221,,686,680,681,,668,651,652
28,101195,949,100888,,135950,950,135635,,657,648,648,,657,647,648
29,104731,953,104417,,153812,1650,153497,,664,654,655,,657,644,644
30,98837,975,98527,,138500,954,138191,,690,680,680,,1177,1169,1169
31,106196,970,105887,,145746,956,145430,,671,666,666,,653,647,647
32,109191,2400,108882,,139301,960,138990,,677,668,668,,674,668,669
33,103463,1253,103152,,147033,959,145910,,670,665,666,,1174,1167,1167
34,98048,1268,97733,,142803,1330,142494,,668,659,659,,655,647,647
35,108070,1269,107764,,126181,1737,125867,,666,661,662,,671,643,644
36,111058,1778,110750,,127928,963,127611,,670,663,663,,651,644,645
37,108201,1496,107893,,135966,1645,135649,,1199,1191,1191,,669,663,663
38,106380,973,106070,,144959,950,144644,,677,668,669,,656,649,649
39,101912,2089,101605,,131236,965,130928,,684,672,673,,666,660,660
40,103132,957,102824,,137851,1234,137539,,1187,1177,1178,,652,645,645
41,106848,950,106541,,142367,959,142047,,1194,1186,1187,,656,647,648
42,109979,951,109672,,132874,936,132564,,695,686,686,,648,643,643
43,103708,1960,103399,,145070,2903,144752,,683,676,677,,656,651,652
44,105450,960,105126,,140841,1338,140530,,669,663,663,,652,644,644
45,109444,957,109135,,147937,949,147624,,662,655,656,,663,656,657
46,107974,1275,107104,,132034,663,131723,,671,661,662,,1196,1189,1190
47,103860,953,103552,,135576,955,135261,,672,667,668,,652,646,647
48,107156,1255,106850,,148117,962,147808,,1177,1170,1171,,655,647,647
49,101857,974,101549,,131317,949,130994,,663,658,658,,651,647,647
50,108766,1452,108453,,168967,1999,168649,,678,667,667,,1157,1152,1152
51,109760,948,109451,,131238,943,130926,,674,670,671,,655,650,650
52,104286,1803,103977,,135551,1343,135232,,667,662,663,,656,642,642
53,104160,1270,103852,,135489,946,135178,,685,679,680,,656,653,653
54,107484,2071,107176,,138449,655,138136,,660,653,653,,656,650,650
55,117231,960,116924,,146592,947,146278,,674,668,669,,1468,1462,1462
56,110689,1489,110378,,129967,1825,128933,,667,658,658,,655,650,650
57,114624,971,114317,,147783,1630,147465,,1196,1187,1189,,1209,1199,1199
58,108220,1632,107912,,133290,966,132966,,687,679,680,,650,645,645
59,104066,1636,103756,,144108,934,143796,,675,669,670,,652,649,649
60,104500,955,104192,,139546,1658,139232,,678,672,673,,1176,1168,1168
61,109949,974,109640,,148136,950,147826,,667,660,660,,1188,1183,1184
62,105175,1608,104864,,137461,968,137149,,1196,1188,1189,,663,654,654
63,110377,959,110068,,121941,1262,121629,,677,668,668,,655,648,648
64,94089,955,93780,,143588,1452,141548,,1707,1701,1701,,1182,1177,1177
65,112485,959,112169,,128093,1346,127780,,670,660,661,,1203,1197,1198
66,108224,951,107909,,122193,954,121877,,1194,1178,1179,,961,956,956
67,102204,943,101894,,140875,958,140565,,672,666,666,,653,650,650
68,105779,1809,105469,,137926,975,137617,,687,678,678,,672,664,665
69,102216,940,101906,,138654,949,138344,,669,665,665,,657,651,652
70,101586,941,101264,,147560,968,147252,,1715,1706,1707,,662,659,659
71,107039,951,106733,,129765,1648,128704,,678,670,670,,1243,1234,1234
72,113296,952,112989,,135838,1636,135527,,663,653,654,,658,653,654
73,111981,1254,111667,,138738,947,138426,,673,666,666,,652,646,647
74,103979,975,103672,,142046,1801,141729,,669,660,660,,658,650,651
75,109794,970,109484,,141349,1473,141036,,671,662,663,,661,652,652
76,101233,1243,100926,,135531,1257,135216,,674,669,669,,661,657,657
77,101598,963,101288,,136917,954,136603,,675,668,668,,656,650,650
78,106647,1817,106336,,135289,983,134974,,670,660,661,,1179,1175,1175
79,105851,953,105542,,144479,961,144171,,677,669,670,,653,646,646
80,105614,1467,105278,,144933,954,144615,,674,663,664,,661,657,657
81,107115,1643,106805,,118690,1338,118379,,690,679,679,,662,656,656
82,109288,1265,108980,,134159,962,133841,,658,651,652,,655,647,647
83,106491,979,106058,,146526,952,146216,,1388,1382,1383,,654,650,651
84,103133,2176,102138,,140129,961,139818,,1173,1164,1165,,671,663,663
85,106372,966,106065,,144118,2704,143803,,675,665,665,,669,662,662
86,103169,1496,103960,,147081,956,145057,,670,661,662,,648,645,646
87,106275,973,105969,,130496,1321,129345,,699,692,693,,667,662,662
88,112131,1258,111825,,140900,955,140588,,674,664,665,,686,680,681
89,91286,963,90972,,133176,2756,132863,,679,671,672,,666,658,659
90,102912,975,102604,,140368,959,140055,,672,664,665,,653,650,650
91,106029,1492,105207,,137018,955,136705,,670,659,660,,669,658,659
92,107024,952,106717,,136191,967,135885,,669,663,663,,656,650,651
93,106996,1693,106689,,136651,1867,136338,,685,679,679,,670,665,665
94,106746,1497,106439,,131183,1325,130871,,670,660,661,,667,661,661
95,101687,1476,101380,,140599,949,140288,,681,670,671,,652,647,647
96,106218,958,105908,,146406,1550,146090,,666,659,659,,654,649,649
97,103680,973,103372,,147290,1336,146974,,666,661,662,,648,644,644
98,111289,961,110982,,140996,1351,139880,,669,660,661,,649,642,643
99,117295,971,116973,,145337,961,145026,,1175,1168,1168,,662,657,657
100,108979,955,108670,,130422,958,130109,,675,661,662,,667,660,660
