,Without Extension,,,,,,,,With Extension,,,,,,
,Many small Images,,,,Few Large Images,,,,Many small Images,,,,Few Large Images,,
,Number of Requests,69,,,Number of Requests,9,,,Number of Requests,69,,,Number of Requests,9,
,Total Transfered (MB),23.1,,,Total Transfered (MB),23.1,,,Total Transfered (MB),0.0209,,,Total Transfered (MB),0.0175,
,Resources (MB),23.1,,,Resources (MB),23.1,,,Resources (MB),0.0617,,,Resources (MB),0.0236,
nth try,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms)
1,92334,1267,92021,,136263,1879,135952,,674,665,665,,959,951,952
2,99868,1277,99546,,155297,1458,154983,,679,674,675,,675,671,671
3,100618,1950,100307,,135563,984,135254,,1284,1276,1277,,1361,1352,1352
4,104462,1646,103611,,137066,942,136756,,680,669,670,,657,652,653
5,98835,960,98527,,135167,956,134853,,668,663,663,,656,651,652
6,100102,973,99792,,142589,1249,142264,,1210,1206,1206,,662,654,655
7,112331,3494,112025,,144991,950,142995,,663,655,656,,653,645,646
8,111231,1943,110923,,158011,2077,156843,,674,666,667,,647,641,641
9,109275,1945,108967,,135797,961,135486,,684,680,681,,656,652,653
10,97946,984,97634,,136200,1660,135882,,1204,1197,1197,,654,648,648
11,107956,1648,107650,,142408,944,142107,,676,670,670,,662,653,653
12,106696,957,106386,,133588,957,133266,,670,665,666,,650,645,645
13,112709,1288,112498,,139692,2080,135822,,676,672,672,,1177,1167,1169
14,101370,975,101055,,158066,949,157752,,660,655,655,,1203,1196,1196
15,101676,1647,101365,,133232,2421,132925,,658,654,654,,649,645,645
16,104955,1485,104955,,132351,951,132221,,671,661,661,,663,658,659
17,102180,970,101871,,139541,954,139231,,1236,1229,1229,12,655,651,652
18,98694,988,98377,,133871,951,133553,,677,671,672,,645,640,641
19,107965,964,107656,,132350,952,132032,,667,664,664,,664,653,654
