,Without Extension,,,,,,,,With Extension,,,,,,
,Many small Images,,,,Few Large Images,,,,Many small Images,,,,Few Large Images,,
,Number of Requests,69,,,Number of Requests,9,,,Number of Requests,69,,,Number of Requests,9,
,Total Transfered (MB),23.1,,,Total Transfered (MB),23.1,,,Total Transfered (MB),0.0209,,,Total Transfered (MB),0.0175,
,Resources (MB),23.1,,,Resources (MB),23.1,,,Resources (MB),0.0617,,,Resources (MB),0.0236,
nth try,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms)
81,107585,950,107276,,134818,952,134504,,1406,1398,1399,,942,937,937
82,110744,1633,110435,,135139,949,134825,,930,923,923,,1338,1331,1332
83,107507,946,107195,,120678,953,120362,,961,950,950,,959,952,952
84,103745,1929,103436,,133790,2882,133476,,682,677,677,,961,953,954
85,111609,958,111295,,119896,1774,119576,,1688,1683,1683,,947,938,938
86,111052,1963,110741,,126435,1660,126119,,981,974,975,,1332,1328,1328
87,109224,960,108915,,120243,1662,119931,,1350,1342,1342,,957,951,952
88,107075,1633,106758,,116889,1548,116572,,1341,1336,1337,,955,946,946
89,110957,1952,110645,,131613,956,131298,,930,923,924,,647,643,644
90,109199,1254,108890,,132150,948,131825,,962,955,955,,952,948,948
91,108881,1954,108570,,128040,1641,127728,,682,678,679,,1338,1329,1330
92,107927,2654,107618,,126441,2095,126126,,661,655,656,,945,937,938
93,110780,970,110471,,129096,958,128775,,659,650,651,,947,940,940
94,112878,42300,112563,,130426,2851,130114,,1359,1350,1351,,1765,1760,1761
95,110705,1276,110395,,133048,970,132737,,937,928,929,,958,950,950
96,108090,1644,107781,,129400,3435,129088,,959,951,952,,1496,1486,1486
97,115255,970,114945,,123551,2137,123236,,703,698,699,,950,944,944
98,105324,2397,105014,,123141,1650,122830,,681,672,672,,1478,1470,1470
99,110691,1962,110382,,118998,956,118686,,1381,1374,1375,,953,944,944
100,108937,965,108627,,130456,967,130140,,929,923,924,,1488,1479,1479
