,Without Extension,,,,,,,,With Extension,,,,,,
21,38725,106,38706,,39292,319,39255,,134,119,122,,123,104,107
22,39080,350,39061,,39064,113,39038,,165,142,143,,138,122,122
23,39191,1106,39171,,39400,152,39383,,152,129,131,,174,131,143
24,38912,255,38888,,39130,258,39104,,162,148,148,,129,106,106
25,38814,609,38796,,39182,151,39165,,168,154,154,,89,84,84
26,38688,389,38667,,39191,126,39171,,165,145,145,,115,105,105
27,38896,184,38877,,39083,201,39061,,167,145,145,,120,95,96
28,38910,632,38881,,39101,200,39079,,190,178,178,,107,89,90
29,39012,198,38992,,39297,369,39266,,174,160,161,,124,116,116
30,39384,148,39362,,39178,101,39159,,141,117,121,,101,96,96
31,38953,330,38935,,39266,387,39244,,145,130,133,,110,98,98
32,39875,114,38953,,39228,132,39205,,156,128,129,,103,98,98
33,38970,109,38952,,39159,141,39141,,146,124,125,,118,107,107
34,38716,242,38697,,39136,134,39113,,182,150,154,,142,115,116
35,38818,1703,38797,,39523,307,39504,,155,135,136,,110,91,91
36,38916,402,38897,,39080,113,39060,,151,115,127,,147,131,131
37,38959,1753,38939,,39051,193,39026,,338,329,330,,131,105,105
38,39061,121,39040,,39298,550,39280,,178,146,147,,147,134,134
39,38773,170,38748,,39306,352,39277,,145,124,124,,97,79,80
40,38912,505,38893,,38962,368,38934,,172,144,144,,342,335,335
41,38615,353,38596,,38886,115,38862,,168,150,150,,115,91,91
42,39033,147,39013,,38966,348,38944,,365,346,346,,104,87,87
43,40188,349,40169,,39378,376,39357,,149,120,121,,108,96,96
44,38864,122,38845,,39149,107,39129,,149,127,133,,100,85,86
45,38624,125,38604,,39103,125,39080,,165,152,153,,123,104,104
46,38769,214,38751,,39097,346,39076,,169,150,150,,110,101,101
47,38655,144,38635,,39289,233,39265,,170,147,148,,133,120,120
48,38896,162,38879,,39233,159,39214,,159,141,146,,361,356,356
49,38836,245,38818,,39136,458,39111,,128,111,113,,115,106,107
50,39007,127,38989,,39155,560,39135,,346,338,339,,112,103,103
51,38701,142,38678,,39011,159,38990,,167,136,137,,159,137,140
52,39521,364,39497,,39273,144,39253,,149,134,135,,123,91,92
53,39346,118,39326,,39000,344,38977,,192,163,164,,106,102,102
54,39178,2918,39159,,39133,110,39110,,154,136,137,,138,107,108
55,39109,356,39092,,39193,203,39166,,174,152,153,,127,118,118
56,39997,394,39979,,39191,91,39171,,191,173,179,,107,98,98
57,39555,101,39537,,39127,203,39101,,141,120,121,,120,96,97
58,38770,516,38750,,39276,127,39254,,163,144,145,,127,101,102
59,39062,765,39042,,39115,402,39084,,168,151,152,,124,112,112
60,38811,165,38794,,39206,98,39186,,135,120,120,,117,113,113
61,38869,151,38849,,39188,171,39159,0,178,170,171,,116,108,109
62,38822,141,38801,,39249,170,39226,,154,127,128,,89,73,73
63,38861,370,38841,,39215,826,39195,,175,147,148,,112,89,90
64,39017,117,38998,,39309,154,39286,,149,132,133,1,97,82,83
65,38990,161,38973,,39298,399,39277,,171,145,145,,181,143,143
66,38885,373,38866,,39092,349,39068,,157,141,141,,376,366,366
67,39584,156,39558,,39014,173,38994,,340,330,331,,104,95,95
68,38791,207,38772,,39320,124,39297,,340,336,337,,130,110,111
69,38861,183,38842,,39237,411,39216,,155,141,141,,339,333,334
70,38990,233,38973,,39430,1008,39403,,147,130,130,,99,90,90
71,38829,392,38811,,39413,402,39390,,169,138,147,,137,122,123
72,38809,162,38788,,39185,336,39161,,155,135,135,,144,108,109
73,38851,419,38829,,39087,184,39062,,159,146,147,,124,109,109
74,38791,123,38773,,39045,157,39025,,156,140,141,,314,307,307
75,39035,121,39017,,39304,242,39248,,154,139,140,,101,96,96
76,38898,369,38880,,39064,352,39042,,187,160,161,,109,100,100
77,38804,243,38787,,39237,716,39211,,178,145,145,,128,102,103
78,38637,146,38619,,39026,361,39003,,159,151,152,,122,91,91
79,38873,110,38853,,39667,977,39646,,144,137,138,,120,93,95
80,38719,140,38700,,39436,351,39414,,149,135,135,,102,82,82
81,38963,95,38940,,39189,619,39165,,168,139,139,,141,109,110
82,38897,160,38879,,39147,264,39125,,165,149,150,,132,120,121
83,38896,112,38877,,39121,384,39101,,365,342,344,,163,141,141
84,38887,121,38868,,39320,158,39300,,149,123,124,,151,98,100
85,38757,812,38740,,39088,131,39064,,150,133,133,,116,101,101
86,38882,436,38862,,39192,96,39169,,159,131,132,,319,309,310
87,38804,658,38785,,39188,121,39156,,365,357,357,,118,86,86
88,38810,240,38788,,39264,104,39239,,128,100,104,,98,85,85
89,39760,331,39742,,39290,429,39273,,154,136,137,,125,108,109
90,38786,133,38769,,39013,157,38988,,166,154,154,,95,89,90
91,38691,123,38669,,39402,364,39381,,165,152,152,,133,118,118
92,38794,182,38776,,39369,480,39344,,146,130,131,,116,96,96
93,38934,148,38913,,39241,310,39217,,156,120,124,,115,106,106
94,39102,511,39083,,39125,126,39105,,154,129,130,,91,86,86
95,38811,277,38790,,39091,351,39071,,159,131,131,,155,145,146
96,38971,410,38951,,38777,125,38757,,327,318,319,,144,119,130
97,38729,380,38711,,39173,115,39149,,174,150,151,,341,328,329
98,39033,413,39008,,39031,117,39004,,331,323,324,,147,113,126
99,38712,376,38692,,39182,149,39159,,164,135,138,,124,120,120
100,38941,578,38922,,38912,170,38892,,226,211,212,,127,112,112
