,Without Extension,,,,,,,,With Extension,,,,,,
,Many small Images,,,,Few Large Images,,,,Many small Images,,,,Few Large Images,,
,Number of Requests,69,,,Number of Requests,9,,,Number of Requests,69,,,Number of Requests,9,
,Total Transfered (MB),23.1,,,Total Transfered (MB),23.1,,,Total Transfered (MB),0.0209,,,Total Transfered (MB),0.0175,
,Resources (MB),23.1,,,Resources (MB),23.1,,,Resources (MB),0.0617,,,Resources (MB),0.0236,
nth try,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms)
1,38683,349,38663,,39124,152,39095,,176,153,153,,103,92,93
2,39109,237,39088,,39079,351,39054,,180,152,158,,107,96,97
3,38889,132,38869,,39085,357,39064,,129,106,113,,149,119,120
4,38920,361,38901,,38857,130,38831,,174,156,162,,132,92,92
5,38902,160,38882,,39222,123,39194,,169,146,146,,323,315,315
6,39948,262,39928,,39086,135,39058,,188,158,158,,121,116,116
7,38884,165,38866,,39107,92,39087,,171,158,159,,122,103,103
8,38669,340,38651,,39435,415,39416,,139,128,129,,126,117,118
9,38839,147,38821,,39220,244,39202,,153,126,134,,109,95,95
10,38680,160,38662,,39053,636,39029,,148,132,132,,138,125,125
11,38755,374,38738,,39231,96,39209,,156,136,136,,151,124,125
12,39073,323,39053,,39008,91,38989,,156,141,142,,96,88,88
13,38788,203,38770,,39383,115,39360,,154,134,135,,104,92,93
14,39097,151,39078,,39284,131,39264,,146,140,140,,122,101,101
15,39069,168,39042,,39047,320,39025,,191,163,164,,122,107,107
16,38689,179,38670,,39031,140,39008,,147,125,125,,120,104,105
17,38825,583,38804,,38946,327,38923,,184,151,165,,167,149,150
18,38906,128,38886,,39166,133,39139,,183,165,166,,120,111,111
19,38991,129,38971,,39118,166,39096,,350,339,340,,341,320,320
20,39998,147,39978,,39255,119,39237,,178,152,152,,97,89,90
