,Without Extension,,,,,,,,With Extension,,,,,,
,Many small Images,,,,Few Large Images,,,,Many small Images,,,,Few Large Images,,
,Number of Requests,69,,,Number of Requests,9,,,Number of Requests,69,,,Number of Requests,9,
,Total Transfered (MB),23.1,,,Total Transfered (MB),23.1,,,Total Transfered (MB),0.0209,,,Total Transfered (MB),0.0175,
,Resources (MB),23.1,,,Resources (MB),23.1,,,Resources (MB),0.0617,,,Resources (MB),0.0236,
nth try,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms)
1,39882,172,39865,,41363,358,41341,,375,348,354,,105,90,90
2,40133,1515,40114,,42009,129,41756,,321,313,314,,306,300,300
3,40249,162,40230,,41612,158,41589,,163,147,148,,175,170,170
4,39978,112,39959,,41132,358,41111,,156,141,141,,157,149,150
5,40244,168,40224,,42104,575,42083,,365,358,358,,123,115,116
6,40039,116,40021,,41609,634,41588,,161,130,131,,152,137,137
7,40480,126,40240,,41818,246,41792,,169,111,117,,132,91,91
8,40255,116,40237,,41262,85,41241,,184,162,166,,111,94,94
9,40581,180,40560,,41675,177,41652,,337,326,326,,327,315,315
10,40053,435,40029,,41380,758,41345,,138,112,112,,207,197,197
11,40192,106,40172,,41397,330,41375,,201,181,181,,310,304,305
12,39910,142,39892,,41118,160,41098,,308,158,160,,687,652,667
13,40067,188,40044,,42518,132,42494,,203,275,279,,505,483,483
14,40625,120,40605,,42250,207,42221,,171,142,143,,115,104,104
15,40029,338,40009,,41885,127,41864,,184,152,153,,400,390,390
16,40224,556,40204,,41069,299,41049,,215,174,174,,122,102,102
17,40066,150,40043,,41520,103,41494,,324,317,318,,151,133,134
18,39796,346,39777,,40778,93,40751,,158,134,135,,183,166,166
19,40101,321,40082,,42365,352,42340,,204,180,180,,113,91,91
20,40295,369,40274,,41162,104,41137,,314,308,308,,330,317,317
