,Without Extension,,,,,,,,With Extension,,,,,,
21,41297,320,41276,,42014,325,41986,,412,386,387,,114,104,105
22,40088,357,40072,,40944,375,40919,,189,165,166,,151,135,136
23,40085,332,40062,,41494,234,41473,,217,201,202,,107,92,93
24,40440,152,40421,,42078,340,42056,,327,313,313,,107,89,89
25,40608,168,40589,,41960,141,41943,,179,159,160,,194,164,164
26,40726,119,40705,,41261,131,41241,,176,159,160,,114,105,105
27,40202,1192,40184,,41270,106,41247,,338,324,325,,120,106,106
28,40466,817,40445,,41297,222,41272,,321,317,318,,90,86,86
29,40055,321,40036,,41049,144,41028,,220,188,188,,129,103,108
30,45647,187,45627,,41222,140,41198,,209,162,163,,109,96,96
31,39756,414,39731,,41156,193,41136,,167,158,159,,326,318,318
32,40242,360,40224,,41399,153,41379,,151,142,142,,138,111,111
33,39861,369,39842,,41097,345,41077,,120,106,107,,351,319,326
34,40175,119,40156,,41836,367,41811,,330,324,324,,182,141,141
35,40209,122,40187,,41905,135,41639,,166,151,152,,116,108,108
36,40387,339,40368,,41571,340,41549,,201,186,187,,186,153,153
37,40774,364,40755,,41245,143,41222,,383,367,367,,308,303,304
38,40377,138,40350,,41691,104,41671,,181,133,135,,133,120,120
39,40469,95,40449,,41597,122,41574,,334,327,328,,165,138,139
40,40242,1069,40221,,42075,369,42052,,330,322,322,,502,473,474
41,40454,119,40437,,41340,80,41318,,176,155,155,,118,108,109
42,39971,202,39946,,41040,343,41015,,170,152,152,,130,114,115
43,39865,637,39844,,41763,163,41742,,325,314,315,,124,116,117
44,40794,372,40773,,42261,133,42231,,362,352,352,,129,106,107
45,39835,403,39817,,43565,318,43542,,197,149,150,,125,102,103
46,40292,187,40272,,42233,305,42210,,169,141,144,,135,120,121
47,39950,203,39929,,40880,100,40855,,389,339,365,,125,93,93
48,40140,130,40117,,41394,403,41368,,204,175,183,,329,312,313
49,40998,564,40976,,41764,119,41743,,347,333,334,,324,311,312
50,40633,156,40611,,41627,369,41596,,173,163,164,,100,87,87
51,39879,159,39861,,41495,110,41473,,172,164,169,,314,297,298
52,40849,319,40829,,41163,117,41142,,155,135,138,,113,97,98
53,40700,119,40680,,43140,156,43119,,410,381,382,,308,301,301
54,40416,448,40394,,41588,137,41570,,124,112,113,,136,120,120
55,40676,141,40658,,42965,313,42936,,179,161,161,,182,147,150
56,41730,1846,41712,,41612,128,41592,,343,321,321,,205,200,200
57,40377,131,40358,,41040,299,41017,,163,137,137,,135,122,122
58,41447,396,41202,,41379,406,41138,,152,136,137,,139,123,124
59,40243,607,40223,,41212,573,41187,,181,143,143,,314,308,308
60,40327,114,40309,,40825,121,40803,,373,351,351,,131,118,118
61,40536,129,40517,,41061,301,41036,,200,178,179,,107,96,96
62,40250,217,40229,,42212,105,42188,,190,163,163,,158,146,146
63,39950,339,39932,,41305,346,41286,,219,182,188,,122,96,96
64,40394,332,40372,,41542,200,41508,,374,348,350,,123,99,100
65,41398,259,41381,,41794,121,41538,,343,331,332,,107,101,102
66,40546,372,40523,,41239,432,41216,,148,109,109,,123,99,99
67,40211,340,40191,,41421,178,41399,,184,160,161,,127,116,116
68,39629,186,39607,,41062,385,41038,,151,137,137,,107,97,97
69,40290,160,40273,,41052,876,41022,,151,124,124,,106,91,91
70,40345,147,40322,,41168,904,41137,,352,339,339,,334,324,325
71,40248,172,40227,,41021,210,41000,,347,333,334,,142,131,132
72,40151,113,40132,,40794,124,40764,,562,545,546,,309,301,301
73,40126,168,40109,,41570,849,41546,,237,220,221,,304,298,298
74,40299,325,40281,,42392,336,41901,,353,342,343,,138,125,126
75,40428,102,40404,,41114,223,40852,,145,133,134,,320,314,315
76,40135,155,40114,,40658,191,40634,,166,148,149,,310,305,305
77,40424,458,40403,,41049,470,41025,,339,322,322,,99,88,89
78,40689,324,40672,,41646,109,41626,,133,120,120,,108,100,100
79,40261,140,40245,,41045,112,41019,,171,135,139,,151,136,137
80,40534,891,40511,,41418,111,41394,,357,337,338,,105,90,90
81,39997,692,39972,,42214,121,42185,,131,114,116,,326,317,317
82,40173,350,40146,,41377,90,41343,,204,184,188,,115,104,104
83,40258,149,40240,,41679,391,41407,,189,160,161,,168,101,102
84,40509,131,40488,,41342,383,41318,,165,142,143,,332,323,324
85,40053,149,40037,,41390,113,41367,,204,167,169,,135,115,115
86,40580,413,40560,,41117,353,41098,,140,126,127,,396,386,386
87,39920,569,39903,,41115,160,41091,,361,348,348,,411,404,404
88,40314,377,40292,,40727,137,40701,,338,319,319,,138,102,102
89,40595,140,40573,,40887,340,40865,,150,141,141,,126,103,103
90,40369,329,40350,,41296,380,41272,,559,548,549,,124,102,102
91,40879,333,40852,,41064,338,41041,,178,158,159,,124,91,92
92,44225,117,44207,,42324,1032,42305,,173,138,142,,109,87,87
93,41206,164,41188,,41254,349,41233,,353,307,329,,139,121,122
94,41281,334,41263,,42168,93,42148,,157,132,132,,120,107,108
95,40758,127,40738,,40937,1644,40915,,175,154,154,,141,110,110
96,40295,116,40275,,41463,463,41441,,333,327,327,,340,335,336
97,39927,409,39907,,40987,210,40964,,354,328,328,,314,305,305
98,41006,127,40987,,41289,361,41268,,952,939,939,,116,104,104
99,40129,364,40108,,41877,181,41858,,147,98,99,,96,89,89
100,40054,178,40036,,42144,123,42123,,210,179,182,,118,102,102
