,Without Extension,,,,,,,,With Extension,,,,,,
,Many small Images,,,,Few Large Images,,,,Many small Images,,,,Few Large Images,,
,Number of Requests,69,,,Number of Requests,9,,,Number of Requests,69,,,Number of Requests,9,
,Total Transfered (MB),23.1,,,Total Transfered (MB),23.1,,,Total Transfered (MB),0.0209,,,Total Transfered (MB),0.0175,
,Resources (MB),23.1,,,Resources (MB),23.1,,,Resources (MB),0.0617,,,Resources (MB),0.0236,
nth try,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms),,finished time (ms),DOM content loaded (ms),load (ms)
1,9834,157,9808,,11268,234,11246,,150,136,137,,104,90,90
2,10743,136,10723,,9596,386,9576,,142,122,122,,92,81,82
3,10436,180,10415,,9604,136,9579,,141,108,108,,80,72,72
4,10880,150,10861,,9669,144,9645,,114,100,102,,110,90,90
5,9701,128,9680,,9917,136,9897,,120,104,104,,85,74,75
6,9374,153,9354,,8968,105,8946,,116,108,108,,95,88,89
7,9209,188,9187,,9116,145,9093,,138,124,124,,115,107,107
8,9368,141,9348,,9539,106,9520,,143,118,118,,89,79,79
9,10563,434,10547,,9318,392,9297,,115,101,101,,86,78,79
10,9547,106,9526,,13663,148,13641,,129,113,114,,92,85,86
11,11054,126,11033,,9535,215,9513,,119,105,105,,92,84,85
12,11927,177,11908,,9373,149,9352,,98,86,86,,91,82,82
13,11271,132,11252,,9598,105,9578,,106,94,99,,87,68,68
14,13330,181,13309,,9327,164,9308,,131,106,106,,101,88,88
15,11423,151,11401,,9058,148,9035,,127,100,100,,111,104,104
16,8869,152,8846,,9085,104,9060,,106,97,97,,75,69,69
17,9165,396,9145,,9211,378,9187,,114,106,107,,81,72,73
18,8980,160,8962,,8922,120,8900,,136,114,115,,118,95,96
19,8731,118,8708,,9071,190,9051,,127,120,120,,79,71,71
20,8740,162,8717,,8982,136,8961,,124,105,105,,82,77,77
