,Without Extension,,,,,,,,With Extension,,,,,,
21,8844,137,8824,,9227,98,9205,,142,128,128,,110,99,100
22,8561,137,8540,,9305,353,9279,10170,149,137,138,,89,80,80
23,8870,153,8848,,9168,142,9147,,141,136,136,,83,74,74
24,9004,184,8985,,9140,82,9120,,131,119,120,,92,82,82
25,8495,151,8475,,9239,94,9215,,113,95,98,,82,75,75
26,8691,147,8667,,9686,90,9661,,119,111,112,,79,71,71
27,9209,134,9188,,10129,109,10104,,103,92,92,,89,82,82
28,9228,157,9203,,9618,112,9588,,164,156,156,,81,72,73
29,8741,147,8719,,9136,171,9113,,101,93,93,,71,65,65
30,9174,116,9156,,8702,109,8681,,109,99,100,,81,72,75
31,8877,120,8848,,9175,104,9151,,109,102,102,,85,78,78
32,9588,153,9568,,9234,152,9212,,112,107,107,,92,86,86
33,8994,152,8975,,9086,101,9063,,118,102,103,,100,68,68
34,8854,150,8837,,8793,70,8773,,136,115,116,,93,86,86
35,8789,133,8768,,8901,151,8880,,132,118,118,,75,67,67
36,8806,130,8781,,9604,170,9580,,93,89,89,,113,102,102
37,8805,144,8787,,9025,190,9005,,134,122,122,,78,68,68
38,8989,173,8969,,9743,156,9720,,118,110,111,,115,93,93
39,8813,114,8794,,8961,130,8940,,125,110,110,,91,84,84
40,8713,222,8693,,9207,118,9184,,118,108,109,,92,84,84
41,8650,165,8627,,9553,73,9532,,112,104,104,,78,67,68
42,8863,179,8844,,9541,145,9520,,139,124,125,,111,102,103
43,8617,159,8593,,9190,101,9169,,129,115,115,,108,99,99
44,8459,219,8441,,9117,74,9095,,131,120,120,,84,78,78
45,8844,150,8824,,9195,144,9178,,102,93,93,,80,73,76
46,8451,169,8433,,8973,127,8948,,80,76,76,,105,95,96
47,8491,288,8467,,8980,93,8962,,109,102,102,,94,83,84
48,8489,158,8467,,8911,112,8891,,94,87,88,,98,89,90
49,8637,114,8615,,9090,114,9070,,128,118,119,,74,67,67
50,8774,140,8753,,8809,106,8789,,107,93,93,,87,76,77
51,8601,149,8581,,8933,209,8913,,117,105,106,,111,103,103
52,8554,181,8529,,9479,208,9458,,113,102,102,,87,76,77
53,8464,147,8443,,9180,141,9159,,138,132,132,,91,78,78
54,8689,199,8669,,9610,127,9585,,118,106,107,,107,100,100
55,8498,149,8480,,9066,137,9044,,108,104,104,,81,78,78
56,8556,143,8534,,9254,198,9235,,109,101,102,,77,69,70
57,8841,127,8820,,8857,165,8834,,96,89,89,,90,78,79
58,8764,155,8743,,9122,123,9103,,94,81,82,,106,99,100
59,8676,167,8659,,9096,97,9074,,126,109,110,,80,67,67
60,8819,139,8798,,8940,113,8917,,117,100,101,,91,83,83
61,8654,129,8631,,8813,186,8787,,103,91,92,,104,89,89
62,8950,173,8932,,9253,394,9229,,106,101,102,,87,79,79
63,8533,124,8514,,9203,91,9180,,114,98,98,,77,71,71
64,8873,203,8852,,9144,107,9127,,129,115,115,,106,100,100
65,8957,139,8936,,9219,67,9201,,114,99,100,,98,86,87
66,8660,203,8643,,8959,123,8941,,132,112,113,,91,85,85
67,8990,135,8969,,8689,116,8668,,124,122,123,,94,84,85
68,8962,111,8944,,9128,105,9106,,127,118,118,,102,85,85
69,8819,404,8797,,9170,99,9149,,132,116,117,,88,79,79
70,8820,180,8799,,9080,110,9060,,109,98,100,,90,79,79
71,8890,181,8865,,9125,78,9108,,110,101,101,,106,86,87
72,8970,179,8952,,9077,365,9059,,104,89,89,,79,65,65
73,8438,153,8420,,9248,858,9225,,103,94,94,,72,61,61
74,8782,209,8761,,8875,147,8857,,96,87,87,,105,90,91
75,8634,181,8614,,9617,120,9598,,101,86,87,,102,95,95
76,8689,149,8671,,9055,387,9036,,137,130,131,,88,78,78
77,8755,269,8734,,8995,125,8973,,168,151,152,,316,307,308
78,8847,421,8827,,9188,185,9166,,115,106,107,,122,109,110
79,8474,161,8456,,9094,175,9074,,127,110,111,,114,105,105
80,8557,185,8535,,9044,168,9023,,93,88,88,,80,66,68
81,8689,185,8671,,9323,82,9302,,142,125,125,,79,76,76
82,8796,129,8774,,9368,99,9351,,106,86,87,,89,78,79
83,8774,199,8757,,9888,119,9868,,136,109,110,,83,74,74
84,8759,142,8736,,9475,115,9451,,138,111,112,,83,77,77
85,8697,164,8678,,9220,95,9202,9710,110,102,102,,132,117,118
86,8968,148,8947,,9408,185,9383,,129,120,120,,87,77,78
87,8671,186,8648,,9081,134,9035,,127,119,119,,82,76,76
88,8661,163,8643,,9172,74,9152,,120,106,106,,109,103,103
89,8787,411,8767,,9256,129,9234,,125,111,112,,86,82,82
90,8858,153,8839,,9450,112,9431,,135,114,114,,101,80,81
91,8528,148,8507,,9043,102,9018,,111,98,99,,100,91,91
92,8794,165,8773,,8939,126,8918,,111,106,107,,103,96,96
93,8721,162,8701,,9352,109,9332,,133,110,111,,80,75,75
94,8794,353,8767,,9562,99,9542,,145,127,127,,101,95,95
95,8751,144,8733,,8996,174,8974,,113,93,94,,100,87,88
96,8880,159,8863,,9416,69,9395,,109,101,101,,92,80,80
97,8964,138,8942,,9285,93,9266,,135,115,117,,94,84,84
98,8842,144,8824,,9178,150,9158,,137,119,120,,80,72,72
99,8832,176,8812,,9217,160,9195,,113,94,94,,80,74,74
100,8539,173,8521,,9195,162,9176,,111,101,101,,84,71,71
